"recycling_id","points_value","weight","date","validation_hash","STATUS","user_id","RECYCLING_POINT_ID","RECYCLING_VALUE_ID"
"1",2355,"4.71","2025-12-01 22:12:29.924026+00","reciclagem1","REDEEMED","2","31","1"
"2",900,"1.8","2025-11-01 22:12:29.924063+00","reciclagem2","REDEEMED","3","31","1"
"3",1955,"3.91","2025-10-01 22:12:29.924084+00","reciclagem3","REDEEMED","4","18","1"
"4",1320,"2.64","2025-09-01 22:12:29.924128+00","reciclagem4","REDEEMED","5","27","1"
"5",1155,"2.31","2025-08-01 22:12:29.924155+00","reciclagem5","REDEEMED","6","12","1"
"6",2425,"4.85","2025-07-01 22:12:29.924174+00","reciclagem100","REDEEMED","2","23","1"
"7",1725,"3.45","2025-06-01 22:12:29.924191+00","reciclagem6","REDEEMED","3","23","1"
"8",255,"0.51","2025-05-01 22:12:29.924208+00","reciclagem7","REDEEMED","4","42","1"
"9",1850,"3.7","2025-04-01 22:12:29.924222+00","reciclagem8","REDEEMED","5","20","1"
"10",1065,"2.13","2025-03-01 22:12:29.924236+00","reciclagem9","REDEEMED","6","24","1"
"11",720,"1.44","2025-02-01 22:12:29.924251+00","reciclagem10","REDEEMED","2","32","1"
"12",1975,"3.95","2025-01-01 22:12:29.924277+00","reciclagem11","REDEEMED","3","25","1"
"13",1180,"2.36","2025-12-01 22:12:29.924292+00","reciclagem12","REDEEMED","4","51","1"
"14",1360,"2.72","2025-11-01 22:12:29.924306+00","reciclagem13","REDEEMED","5","2","1"
"15",1650,"3.3","2025-10-01 22:12:29.924321+00","reciclagem14","REDEEMED","6","8","1"
"16",2060,"4.12","2025-09-01 22:12:29.924336+00","reciclagem15","REDEEMED","2","41","1"
"17",1560,"3.12","2025-08-01 22:12:29.924351+00","reciclagem16","REDEEMED","3","7","1"
"18",2029,"4.06","2025-07-01 22:12:29.924367+00","reciclagem17","REDEEMED","4","41","1"
"19",1670,"3.34","2025-06-01 22:12:29.924383+00","reciclagem18","REDEEMED","5","13","1"
"20",1880,"3.76","2025-05-01 22:12:29.924397+00","reciclagem19","REDEEMED","6","45","1"
"21",925,"1.85","2025-04-01 22:12:29.924412+00","reciclagem20","REDEEMED","2","25","1"
"22",1025,"2.05","2025-03-01 22:12:29.924427+00","reciclagem21","REDEEMED","3","39","1"
"23",1230,"2.46","2025-02-01 22:12:29.924441+00","reciclagem22","REDEEMED","4","31","1"
"24",2185,"4.37","2025-01-01 22:12:29.924456+00","reciclagem23","REDEEMED","5","6","1"
"25",460,"0.92","2025-01-01 22:12:29.92447+00","reciclagem24","REDEEMED","6","42","1"
"26",1425,"2.85","2025-02-01 22:12:29.924485+00","reciclagem25","REDEEMED","2","12","1"
"27",2285,"4.57","2025-03-01 22:12:29.924499+00","reciclagem26","REDEEMED","3","20","1"
"28",1335,"2.67","2025-04-01 22:12:29.924513+00","reciclagem27","REDEEMED","4","33","1"
"29",750,"1.5","2025-05-01 22:12:29.924527+00","reciclagem28","REDEEMED","5","7","1"
"30",2470,"4.94","2025-06-01 22:12:29.924541+00","reciclagem29","REDEEMED","6","35","1"
"31",1515,"3.03","2025-07-01 22:12:29.924555+00","reciclagem30","REDEEMED","2","2","1"
"32",2335,"4.67","2025-08-01 22:12:29.924569+00","reciclagem31","REDEEMED","3","2","1"
"33",2465,"4.93","2025-09-01 22:12:29.924583+00","reciclagem32","REDEEMED","4","3","1"
"34",1460,"2.92","2025-10-01 22:12:29.924597+00","reciclagem33","REDEEMED","5","45","1"
"35",2245,"4.49","2025-11-01 22:12:29.924613+00","reciclagem34","REDEEMED","6","30","1"
"36",535,"1.07","2025-11-01 22:12:29.924627+00","reciclagem35","REDEEMED","2","7","1"
"37",1895,"3.79","2025-11-01 22:12:29.924641+00","reciclagem36","REDEEMED","3","35","1"
"38",1970,"3.94","2025-11-01 22:12:29.924654+00","reciclagem37","REDEEMED","4","30","1"
"39",1075,"2.15","2025-11-01 22:12:29.924668+00","reciclagem38","REDEEMED","5","22","1"
"40",1950,"3.9","2025-01-01 22:12:29.924681+00","reciclagem39","REDEEMED","6","14","1"
"41",2029,"4.06","2025-02-01 22:12:29.924695+00","reciclagem40","REDEEMED","2","51","1"
"42",2240,"4.48","2025-03-01 22:12:29.924709+00","reciclagem41","REDEEMED","3","3","1"
"43",1645,"3.29","2025-04-01 22:12:29.924722+00","reciclagem42","REDEEMED","4","27","1"
"44",1010,"2.02","2025-05-01 22:12:29.924753+00","reciclagem43","REDEEMED","5","30","1"
"45",2280,"4.56","2025-06-01 22:12:29.924767+00","reciclagem44","REDEEMED","6","52","1"
"46",1300,"2.6","2025-07-01 22:12:29.924781+00","reciclagem45","REDEEMED","2","3","1"
"47",1970,"3.94","2025-08-01 22:12:29.924796+00","reciclagem46","REDEEMED","3","48","1"
"48",1545,"3.09","2025-09-01 22:12:29.924812+00","reciclagem47","REDEEMED","4","6","1"
"49",2430,"4.86","2025-10-01 22:12:29.924826+00","reciclagem48","REDEEMED","5","15","1"
"50",2440,"4.88","2025-11-01 22:12:29.92484+00","reciclagem49","REDEEMED","6","29","1"
"51",1080,"2.16","2025-12-01 22:12:29.924853+00","reciclagem50","REDEEMED","2","46","1"
"52",1705,"3.41","2025-12-01 22:12:29.924946+00","reciclagem51","REDEEMED","3","2","1"
"53",1265,"2.53","2025-11-01 22:12:29.924969+00","reciclagem52","REDEEMED","4","43","1"
"54",2370,"4.74","2025-10-01 22:12:29.924984+00","reciclagem53","REDEEMED","5","47","1"
"55",1145,"2.29","2025-09-01 22:12:29.924999+00","reciclagem54","REDEEMED","6","43","1"
"56",385,"0.77","2025-08-01 22:12:29.925014+00","reciclagem55","REDEEMED","2","24","1"
"57",2485,"4.97","2025-06-01 22:12:29.925029+00","reciclagem56","REDEEMED","3","41","1"
"58",465,"0.93","2025-05-01 22:12:29.925043+00","reciclagem57","REDEEMED","4","28","1"
"59",925,"1.85","2025-04-01 22:12:29.925057+00","reciclagem58","REDEEMED","5","2","1"
"60",1935,"3.87","2025-03-01 22:12:29.925072+00","reciclagem59","REDEEMED","6","2","1"
