"maps_id","name","cnpj","zip_code","latitude","longitude","USER_ID","address"
"ChIJ0efZB5xjzpQRR18Y0KOa9Qw","Global Reciclagem","47.783.578/0001-25","04880-600","-23.5478112","-46.5481561",NULL,"Rua Mariano de Sousa, 331 - Chácara Santo Antônio (Zona Leste), São Paulo"
"ChIJ3yT6czpfzpQRZDK_gmSqLLc","Ecoponto Vila Maria","98.578.999/0001-55","04752-005","-23.5196568","-46.5808735",NULL,"R. Curuçá, 1700 - Vila Maria, São Paulo"
"ChIJ_52cT-pYzpQRjYjErvDcdXc","Sucatas Guerreiro","49.281.822/0001-87","05451-905","-23.5253306","-46.6144811",NULL,"Av. Bom Jardim, 285 - Pari, São Paulo"
"ChIJ58KIjsdVzpQRCFw9bL3vw30","Eco Ponto","42.168.124/0001-20","04401-170","-23.6235719","-46.77949110000001",NULL,"R. José Milani, 275 - Jardim Irapua, Taboão da Serra"
"ChIJ6_wXSUBRzpQRiL6152HZ7LU","Reciclagem Lado Sul","27.071.078/0001-53","04271-001","-23.6655345","-46.7061378",NULL,"Rua: Cristalino Rolim de Freitas, 291 - Jurubatuba, São Paulo"
"ChIJ_8t1_RdXzpQRV-S7rNDM6gA","Recolher Recicla","88.290.842/0001-76","04823-320","-23.6155194","-46.7268726",NULL,"R. Herbert Spencer, 978 - Paraisópolis, São Paulo"
"ChIJ8ZYXZnFTzpQRPuYsKdb9Rts","Iris Sucatas","12.157.330/0001-74","03279-175","-23.6809228","-46.7654599",NULL,"Estrada do M'Boi Mirim, 3700 - Jardim Regina, São Paulo"
"ChIJ96pyISRZzpQRkymUSYC95Wo","Ecoponto Bresser","55.135.448/0001-04","03668-020","-23.5437879","-46.6061813",NULL,"Praça Giuseppe Cesari, 54 - Brás, São Paulo"
"ChIJAQApntxdzpQRv3ik8_33-EI","Coleta de Lixo Eletrônico SP | Sucata Digital ® descarte correto São Paulo","43.483.725/0001-90","04902-030","-23.5654215","-46.55719879999999",NULL,"R. Templários, 192 - Vila Formosa, São Paulo"
"ChIJB_AIwx5RzpQRxcRCUFO_qVc","Ecoponto Alceu Maynard Araújo","14.429.876/0001-62","08465-050","-23.6360633","-46.7137515",NULL,"Av. Professor Alceu Maynard Araújo, 330 - Vila Cruzeiro, São Paulo"
"ChIJbb6pp-1RzpQRjZBEQBF5vek","Ecoponto Cidade Saudável","27.773.040/0001-22","04565-010","-23.6623766","-46.7223413",NULL,"R. Ptolomeu, 869 - Vila Socorro, São Paulo"
"ChIJBcHDUlhezpQRifnRTsumbVE","Ecoponto Vila Luisa","32.307.452/0001-07","03974-170","-23.5312229","-46.5524491",NULL,"R. Manoel Graça - Guaiauna, São Paulo"
"ChIJBewLjjZZzpQRdhMRSHqJJUk","Ecoponto Pari","76.544.985/0001-88","05881-050","-23.5246238","-46.6094263",NULL,"Av. Carlos de Campos, 1031 - Pari, São Paulo"
"ChIJDRRmU3hUzpQR254UCOgUQoY","Sucapecas Sucata","80.797.108/0001-96","03129-030","-23.6341007","-46.7789773",NULL,"Estr. Kizaemon Takeuti, 127 - Jardim Clementino, Taboão da Serra"
"ChIJdyWJGrKqcIgRmHIlWj_f0zw","SIM RECICLA ELETRÔNICOS","01.470.305/0001-20","05076-015","-23.6893617","-46.7688125",NULL,"R. Cláudio Manoel, 282 - Jardim Tupi, São Paulo"
